Venue,Date,Start,End,Title,Event
35 Madeira Rd,2024-07-28,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78060
The Flowersbrook Inn,2024-07-28,15:00,16:00,Pirates' Prov - Avast!,https://ventnorexchange.littleboxoffice.com/events/77219
Pier Street Playhouse,2024-07-28,15:30,16:30,I Knew You - An Eras Tour of Poetry,https://ventnorexchange.littleboxoffice.com/events/76466
Ventnor Arts Club,2024-07-28,16:30,17:30,Miranda Reveals All,https://ventnorexchange.littleboxoffice.com/events/76491
The Flowersbrook Inn,2024-07-28,17:00,18:00,Ania Magliano (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/72762
Ingrams Yard,2024-07-28,17:00,18:00,Alex Kitson: Must I Paint You a Picture (WIP),https://ventnorexchange.littleboxoffice.com/events/73015
The Magpie,2024-07-28,17:30,18:30,Pinocchio (A new adaptation by Pink Cow Theatre),https://ventnorexchange.littleboxoffice.com/events/76673
The Big Top,2024-07-28,18:00,19:00,HOME,https://ventnorexchange.littleboxoffice.com/events/69561
Pier Street Playhouse,2024-07-28,18:00,19:00,Wyrd Wight Tales,https://ventnorexchange.littleboxoffice.com/events/76713
The Flowersbrook Inn,2024-07-28,19:00,20:00,Josh Baulf: Rumble,https://ventnorexchange.littleboxoffice.com/events/71996
The Magpie,2024-07-28,19:30,20:30,Baron Fortitude: Victorian Rapper,https://ventnorexchange.littleboxoffice.com/events/71983
Ingrams Yard,2024-07-28,19:30,20:30,KIZZA: BIGFUNKYMAGICMAN,https://ventnorexchange.littleboxoffice.com/events/73021
Ventnor Arts Club,2024-07-28,19:30,20:30,Hunter Davies: Letters to Margaret,https://ventnorexchange.littleboxoffice.com/events/76763
The Magpie,2024-07-28,21:15,22:30,"EAT, SLAY, LOVE - A Quivers Stand Up Show",https://ventnorexchange.littleboxoffice.com/events/69526
Ingrams Yard,2024-07-28,21:30,22:30,Bella Hull: Work in Progress,https://ventnorexchange.littleboxoffice.com/events/76456
