Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
St. Catherine's Church	2026-07-19	19:30	21:00	Jim Thorn Quintet	https://purchase.vfringe.co.uk/EventAvailability?EventId=60401		Music	true	false	Jim Thorn (piano) is one of the Island’s best known jazz musicians and promoters, and organises the annual Isle of Wight Jazz Weekend which, in 2025 hosted a very popular latin jazz night to a full house, and Jim has therefore brought that lineup to Ventnor Fringe. Joining him are vocalist Loren Thorn, along with Joe Thompson (guitar and trombone), Jon Thorne (bass) and Ken Black (percussion). The quintet have all accompanied and played with a wide array of local and mainland-based top jazz names. In this format they perform instrumental and vocal (often in Portuguese) versions of latin and and other tunes, as well as a wide repertoire of the works of Jobim, along with plenty of bossa novas, sambas, original Brazilian compositions and some calypso-inspired tunes. The aims are good musicianship combined with a light-hearted and entertaining presentation. There are plenty of improvised solos and lots of latin energy.
Bosco Theatre	2026-07-19	19:30	20:30	Unmasked - The magic of Angus Baskerville	https://purchase.vfringe.co.uk/EventAvailability?EventId=48601		Performing Arts	true	false	For his triumphant return to Ventnor after last years spectacular ‘Hidden Powers’, Angus Baskerville brings an all-new show ‘Unmasked’ that pushes his acclaimed storytelling and magic to new heights. Drawing on his own experiences of growing up with autism and ADHD, Angus finds new ways – and new tricks – to show us how we spend so much of our life hiding who we really are and how 'dropping the mask' can often make us feel better. Oh, and just for good measure – there’s a chance Angus knows where you’re going on holiday this year…
Club Lunar	2026-07-19	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
Bijou	2026-07-19	20:30	21:30	Clownfish Out Of Water	https://purchase.vfringe.co.uk/EventAvailability?EventId=41601		Spoken Word, Walks & Talks	true	false	When clowns can't breathe water and fish can't breathe air- what's a poor Clown Fish to do in this cruel world? In 2025, Catling (Keep It Fringe Award Winner 2023, Malcolm Hardee Award Nominee 2023 & 2025) lost his slug mask. It was an essential part of his cult hit show ‘Moving on...really really slowly.’ This time, Stephen explores his life now that Autism has been “unmasked,” as well as his fin flapping rage against an increasingly soulless entertainment industry. "you’ll see things that you definitely won’t experience anywhere else in comedy." Chortle
Ingrams Yard	2026-07-19	21:00	22:00	The Night Ali Died	https://purchase.vfringe.co.uk/EventAvailability?EventId=39601		Performing Arts	true	false	Ali is wanted by a vicious London Gangster and is placed under police surveillance for the protection of him and his family, yet one night, Ali decides to sneak out, sparking a bloody domino effect that ricochets through the sleepy streets of his city. Through the brutal accounts of Ali, a henchman, a detective and a mob boss, find out what on earth happened on the night Ali died. The Night Ali Died has been collecting a vast amount of accolades since, winning five awards in its first six months of touring. “A GRIPPING CRIME THRILLER THAT UNFOLDS WITH CINEMATIC PRECISION” – Colchester Gazet
Ventnor Arts Club	2026-07-19	21:30	22:50	Around the World in Eighty Minutes	https://purchase.vfringe.co.uk/EventAvailability?EventId=49001		Music	true	false	The desire to express ourselves through music is shared across our planet. We tell our stories, give voice to our desires, recount our history and traditions, and look with hope for the future through songs and tunes that defy our differences and ignore borders. Singing songs or crafting soundscapes transports us to other times and distant places, that embody our cultural uniqueness and illuminate our diverse values and conventions. Around the World in Eighty Minutes brings you a taste of the extraordinary and exciting musical traditions, folklore, and customs from around the globe.
Bosco Theatre	2026-07-19	21:30	22:30	Big Quiffy Bingo	https://purchase.vfringe.co.uk/EventAvailability?EventId=53001		Comedy & Cabaret	true	false	From the very towering tips of his perfectly-coiffed quiff down to the tips of his bejewelled toes, Boogaloo Stu is altogether completely ridiculous, simply fabulous and utterly idiotic. After another glorious sell-out season in 2025 at the Brighton Fringe Spiegelgardens and the UK tour that followed last summer, the legendary bawdy raconteur is once again taking his outrageous one-man show Big Quiffy Bingo out on the road. He is making a return to Ventnor Fringe for another night of gloriously playful and anarchic bingo, where utter filth, joyous fun and flashmob dances collide.
Ventnor Exchange	2026-07-20	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Club Lunar	2026-07-20	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
The Workshop Tent	2026-07-21	09:00	10:00	Scaravelli Yoga with Erling	https://purchase.vfringe.co.uk/EventAvailability?EventId=63401		Workshop	true	false	Yoga — but not as you know it. I'm back at Ventnor Fringe this year, and these 60-minute classes offer something quieter than most: a practice guided by breath and gravity, where you learn to move with your body rather than impose on it. Suitable for all levels.
The Workshop Tent	2026-07-21	10:45	11:45	Fringe Frequencies: A Ventnor Sound Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=56401		Workshop	true	false	Step into a curated series of immersive Gong & Bowl Sound Baths inspired by the shifting atmosphere, coastline and natural rhythms of Ventnor. Each session carries its own distinct mood, frequencies and soundscape, connected through the creativity and energy Ventnor Fringe brings to the town each summer. Held beneath canvas in the park, expect resonant Sound, deep rest and the subtle backdrop of nature and festival life outside. Bring mats, pillows and blankets for comfort. Unsuitable for those with seizures, pacemakers or who are pregnant. Full details of contraindications on my website.
The Workshop Tent	2026-07-21	13:00	14:00	Botanical Monotype Printmaking Workshop	https://purchase.vfringe.co.uk/EventAvailability?EventId=63001		Workshop	true	false	Come and create playful, experimental prints using fresh plant matter while learning about the monoprinting process. To make a monoprint, ink is applied to a plate with a brayer or a brush to create a layer of color. This inked surface can then be altered, added to, or masked with objects or stencils before being sent through the printing press. The result is a unique, freeform print that can be layered upon again and again! This workshop is for any experience level and ability—ages 12 and up.
Ventnor Exchange Arena	2026-07-21	13:00	14:20	What We Do When We Can't Dance	https://purchase.vfringe.co.uk/EventAvailability?EventId=57801		Performing Arts	true	false	DreamArts Rep Company is a theatre company of young artists from refugee backgrounds, touring original productions fusing theatre, film, music and lyricism. What We Do When We Can’t Dance is a vibrant coming-of-age story packed with big laughs, bold beats and a shocking twist in a story of friendship, first love and finding your place. After finishing his exams, James leaves home for London with his unreliable older brother Jackie, leaving behind his first love Stella and best friend Moses. But on James’s 18th birthday, a revelation changes everything he knew about love, loyalty and the future
Ventnor Exchange	2026-07-21	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
The Garage	2026-07-21	15:00	15:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
The Workshop Tent	2026-07-21	15:00	16:30	Tetrapak Intaglio Printmaking workshop	https://purchase.vfringe.co.uk/EventAvailability?EventId=62001		Workshop	true	false	Come and join us for a special creative printmaking workshop led by Czech artist Petra Janouskova ART NOMAD on Tuesday 21st - Friday 24th, from 3 PM - 4:30PM. This workshop is for any experience level and ability—ages 12 and up. We will create a line-based design that will be transferred onto a Tetra Pak (a recycled milk or juice carton). The design will then be printed onto mixed-media paper using a printing press. This class will cover the full process of printmaking, from initial design through a finished print. Participants are encouraged to bring their own inspiration or choose from a variety of photographs provided by the class director.
Ingrams Yard	2026-07-21	15:00	16:00	Whatever Happened To That Guy?	https://purchase.vfringe.co.uk/EventAvailability?EventId=59401		Performing Arts	true	false	In 2008, A-Lister Guy Wesley disappeared. Now, he’s writing his tell-all memoir. At least, that’s what failing author Bee Leigh wants her publishers to believe. Can she pull off the biggest hoax of the century* (*in the publishing world) before the yarn she’s spun unravels? Fresh off the back of three consecutive smash-hit Edinburgh Fringe runs, Maybe You Like It's brand new laugh-out-loud comedy promises fast-paced thrills, frantic multi-rolling and an awful lot of lying for a show inspired by a true story. Expect ‘a mountain of wit and meta-theatrical humour’ The Scotsman. Praise for previous work: **** 'Painfully funny' The Stage ***** 'exudes originality' The Recs ***** 'Simply the best show I've seen this year.' UK Theatre Web ***** 'Outstanding work' Theatre and Tonic 'spectacularly joyful and silly' The Independent Gems of the Fringe 2024"
Bijou	2026-07-21	15:30	16:30	Funny That	https://purchase.vfringe.co.uk/EventAvailability?EventId=59601		Spoken Word, Walks & Talks	true	false	Three friends, each from vastly different backgrounds, Barnsley, Beckenham and Aldershot, come together to perform wry stories, wacky poems, and weird confessions. Do you like to explore the underbelly of life or just have your belly tickled. Do you enjoy having your assumptions about life challenged? Funny That bring together a rich seam of intoxicating life stories, humour & poetry.
Pier Street Playhouse	2026-07-21	15:30	16:30	Mellow Drama at the Ventnor Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=44401		Performing Arts	true	false	A long time ago in a galaxy not far away an evil Emperor develops plans for the ultimate weapon with enough power to subdue the whole known world with the assistance of a dark Lord. But he hasn't reckoned on the arrival of a rival whose destiny will bring new hope to those who refuse to go over to the dark side. Nor has he reckoned on the arrival of those who will join forces with this rival. Mellow Drama returns to the Ventnor Fringe to proudly present a short play in three Acts: “The Emperor strikes back” “Star Draws” and “The Return of the Magi”.
Ventnor Arts Club	2026-07-21	16:45	17:45	Richard Pulsford: Yorkshire Dad, Immigrant Mum	https://purchase.vfringe.co.uk/EventAvailability?EventId=9001		Comedy & Cabaret	true	false	Multi-award-winning stand-up comedian Richard Pulsford takes a nostalgic no holds barred tour into his parents’ past to try to understand how it made them who they were, and therefore the person who he is. With a dad from Yorkshire and a ‘foreign’ mum maybe it shouldn’t be a surprise that Richard ended up being, well, ‘funny’. Richard won Leicester Comedy Festival’s UK Pun Championships in 2022, has had jokes in the Top Ten Jokes of the Edinburgh Fringe three times, was an interviewed guest on Channel 4’s ‘Steph’s Packed Lunch’ in 2022 and his one-liner show was nominated for ‘Best stand-up’ at Buxton Fringe in 2023. The run of his one-liner show ‘Get Rich Quick’ was a sell-out in the Ventnor Fringe in 2024.
Bosco Theatre	2026-07-21	17:00	18:00	Burning Down the Horse	https://purchase.vfringe.co.uk/EventAvailability?EventId=43603		Performing Arts	true	false	The multi award-winning smash hit Burning Down the Horse comes to Ventnor! This immersive comedy epic drops you into the heart of the most iconic wooden animal in history - the Trojan Horse. Become part of this “infectiously funny” (Fringe Review) tale as you contend with heroic egos, class clashes and sword supply issues. There's only one rule: Odysseus' word is law. And for the love of gods - no naked flames! Created by the team behind last year’s smash It’s Gonna Blow!, join us and experience what really went on inside the belly of the beast.
Ingrams Yard	2026-07-21	17:00	18:00	DELUGE	https://purchase.vfringe.co.uk/EventAvailability?EventId=41401		Performing Arts	true	false	A comic exploration of grief, inspired by a break-up and over 40 interviews gathered via a social media call-out. In the wake of a relationship, a woman tries to contain the overflow of her thoughts…She ends up stuck in a ladder, fighting against komodo dragons, house leaks, holes, and jam jars that only seem to multiply. Deluge puts a magic realist spin on dealing with grief, blurring imagination with real stories. ‘Intense physicality and irresistible charm’ **** (British Theatre Guide). ‘Incredibly beautifully written’ **** (Spy in The Stalls). ****½ (Youngish Perspective)
Ventnor Botanic Garden	2026-07-21	18:00	20:00	Circus Trail	https://purchase.vfringe.co.uk/EventAvailability?EventId=37601		Performing Arts	true	false	Explore Ventnor's famous Botanic Garden after hours as The Circus Trail returns with an all new cast of acrobats and performers. Once again transforming these tropical gardens in a unique promenade performance, created especially for Ventnor Fringe. The perfect festival adventure for adults and children of all ages.
Ventnor Exchange Arena	2026-07-21	18:00	19:00	POLICE COPS	https://purchase.vfringe.co.uk/EventAvailability?EventId=37401		Comedy & Cabaret	true	false	POLICE COPS debut show; a globally-acclaimed comedy blockbuster that has enjoyed THREE sell out runs at London’s Soho Theatre and an OFFICIAL SELL OUT run at The Edinburgh Fringe Festival. The 7 time award winning production has delighted audiences around the world at The Melbourne International Comedy Festival, The Cape Town Fringe Festival and The National Arts Festival of South Africa. PRESENT DAY (of 1976). Straight-laced rookie Police Cop Jimmy Johnson is out to avenge his brother’s death, and he’s got to go it alone! (with his partner) Teamed up with a disgraced, retired renegade named Harrison, the pair begin to unearth the soily secrets that the case holds. POLICE COPS is a cinematic joyride, speeding down Adventure Avenue in a souped-up squad car. Oh, and did I mention...the steering wheel is made out of guns.
Bijou	2026-07-21	18:15	19:15	A RECKONING OF WOMEN'S VOICES	https://purchase.vfringe.co.uk/EventAvailability?EventId=52801		Performing Arts	true	false	A ducking-stool. A shrew’s fiddle. A scold’s bridle. Jean G-Owen’s troupe of Reckoners—Karl Whitmore & Sandy Kealty—fuse poetry, music and movement to re-stage the punishments designed to keep women in line, those scolds, witches, saints and dissenters who refused to say NO! ‘exhilarating, yet chilling’ ★★★★★ ‘a warning, a celebration, and a rallying cry.’ ★★★★★
Pier Street Playhouse	2026-07-21	18:30	19:30	Taverner and James 'Rhyme and Reason'	https://purchase.vfringe.co.uk/EventAvailability?EventId=52001		Comedy & Cabaret	true	false	Bawdy bard Steve Taverner and opinionated newspaper columnist Cat James, return to Ventnor Fringe with a revised version of their 'Rhyme and Reason' show. Using poetry, prose, sketches and song, plus Cat's vintage school recorder, Taverner and James explore the issues which perplex, enrage and entertain us. With their opposing writing styles, can these two established social commentators find some common ground? Show contains strong language, adult themes, boomer dancing and references to nether regions.
Ventnor Arts Club	2026-07-21	19:00	20:00	Richard Pulsford: Gold Fashioned Jokes	https://purchase.vfringe.co.uk/EventAvailability?EventId=43201		Comedy & Cabaret	true	false	One-liners and quality light-hearted jokes from the UK Pun Championships winner 2022, Scottish Comedian of the Year runner-up 2021 and You Must Be Joke King winner 2024. Nominated best stand-up at Buxton Fringe 2023. Top Ten Jokes Edinburgh Fringe 2019, 2021 & 2023. As seen on Channel 4's Steph's Packed Lunch. ‘Quite literally, just an hour of puns and one-liners… a breath of fresh air from some of the darker Fringe comedy shows’ (Broadway World) ‘Exudes confidence and charm’ ***** (Lancaster Guardian) 'An assured performer… quick, original and funny' **** (Broadway Baby)
Ingrams Yard	2026-07-21	19:00	20:00	Whatever Happened To That Guy?	https://purchase.vfringe.co.uk/EventAvailability?EventId=59401		Performing Arts	true	false	In 2008, A-Lister Guy Wesley disappeared. Now, he’s writing his tell-all memoir. At least, that’s what failing author Bee Leigh wants her publishers to believe. Can she pull off the biggest hoax of the century* (*in the publishing world) before the yarn she’s spun unravels? Fresh off the back of three consecutive smash-hit Edinburgh Fringe runs, Maybe You Like It's brand new laugh-out-loud comedy promises fast-paced thrills, frantic multi-rolling and an awful lot of lying for a show inspired by a true story. Expect ‘a mountain of wit and meta-theatrical humour’ The Scotsman. Praise for previous work: **** 'Painfully funny' The Stage ***** 'exudes originality' The Recs ***** 'Simply the best show I've seen this year.' UK Theatre Web ***** 'Outstanding work' Theatre and Tonic 'spectacularly joyful and silly' The Independent Gems of the Fringe 2024"
Bosco Theatre	2026-07-21	19:30	20:30	Webber!	https://purchase.vfringe.co.uk/EventAvailability?EventId=40202		Comedy & Cabaret	true	false	A bawdy, hilarious new musical about the life of composer Andrew Lloyd Webber (Jesus Christ Superstar, Evita, Starlight Express) as he's guided by Margaret Thatcher to achieve his dream of becoming 'filthy rich and f***ing useless'. Will he ever become a Lord? Will he fly back to London to vote to cut tax credits for the poor? Find out in Webber! 'Gleefully filthy!' The Scotsman 'It should run longer than Cats!' Speak The Speech 'An absolute hoot' British Theatre Guide 'Riotous!' Stage to Page Written/Composed by and starring Grant Sharkey and The Ventnor Darling's Laura Clare Reid.
Club Lunar	2026-07-21	20:00	00:00	Club Lunar	https://purchase.vfringe.co.uk/EventAvailability?EventId=38001		Music	true	false	Club Lunar is a Fringe institution in the making and the new beating heart of the festival. After a busy day watching shows make your way to Flowersbrook and discover secret circus, a cocktail bar, bands, DJs and a late-night cabaret every night. Each evening you'll find special guests headliners and an eclectic music policy spanning psych, reggae, swing, ska, jazz, African, Latin, calypso, rock-a-billy, and rock and roll, lovingly curated by the Ventnor Exchange team.
The Garage	2026-07-21	20:00	20:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
Bijou	2026-07-21	20:30	21:30	Smile Like You Mean It (final cut)	https://purchase.vfringe.co.uk/EventAvailability?EventId=42401		Spoken Word, Walks & Talks	true	false	Happy Jon has again tricked/manipulated/seduced/blackmailed the Ventnor fringe into letting perform new and old dark, random and sometimes perverse stories about life. (Free chewy sweet for all who attend)
Ingrams Yard	2026-07-21	21:00	22:00	Final Queen	https://purchase.vfringe.co.uk/EventAvailability?EventId=41801		Performing Arts	true	false	A Drag Circus Horror Comedy. Priscilla Queen of the Desert meets Texas Chainsaw Massacre under the Big Top! Join Australia’s own circus queen Grace Lightning as she embarks on a road trip through the outback, dodging deadly snakes and spiders, bigoted cryptids, and chainsaw-wielding bushrangers on a murderous rampage. But are these monsters really what they seem…? Expect haunted acrobatics, blood soaked hula hooping, and a whole lot of hair-raising hilarity, oozing with all your favourite horror tropes on the small stage.
The Garage	2026-07-21	21:00	21:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
Bosco Theatre	2026-07-21	21:30	22:30	Ahir Shah: Golden (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=47801		Comedy & Cabaret	true	false	HBO and Netflix star Ahir Shah (Live at the Apollo, Mock The Week, Have I Got News For You,QI) is back with his new stand-up show Golden. His last show, Ends, won the prestigious Edinburgh ComedyAward for Best Show, sold out shows across the world and was recorded as a comedy special for Netflix.Ahir has also been seen and heard on shows including Ahir Shah: Dots (HBO), Jurassic World 3, Foundation (Apple TV), Richard Osman’s House of Games (BBC2),The Last Leg (C4),The MashReport (BBC2),Frankie Boyle's New World Order (BBC2) and The Now Show (BBCR4).
Ventnor Arts Club	2026-07-21	21:30	22:30	TBC (totally brilliant conjuring)	https://purchase.vfringe.co.uk/EventAvailability?EventId=45401		Performing Arts	true	false	British Magic Champion Mark Shortland will blow your mind with some totally brilliant conjuring. This fun packed show will engage the audience with a mixture of illusion, audience participation and a "unique brand of comedy" which are all blended together with an individual style of magic and suggestion, creating an act the edge of your seat was made for. "You've blown our minds!" Ant and Dec "Very impressive, one of my favourite acts" Jonathan Ross "Your performance was brilliant, so funny and full of life" Teller
The Workshop Tent	2026-07-22	09:00	10:00	Scaravelli Yoga with Erling	https://purchase.vfringe.co.uk/EventAvailability?EventId=63401		Workshop	true	false	Yoga — but not as you know it. I'm back at Ventnor Fringe this year, and these 60-minute classes offer something quieter than most: a practice guided by breath and gravity, where you learn to move with your body rather than impose on it. Suitable for all levels.
The Workshop Tent	2026-07-22	10:45	11:45	Fringe Frequencies: A Ventnor Sound Journey	https://purchase.vfringe.co.uk/EventAvailability?EventId=56401		Workshop	true	false	Step into a curated series of immersive Gong & Bowl Sound Baths inspired by the shifting atmosphere, coastline and natural rhythms of Ventnor. Each session carries its own distinct mood, frequencies and soundscape, connected through the creativity and energy Ventnor Fringe brings to the town each summer. Held beneath canvas in the park, expect resonant Sound, deep rest and the subtle backdrop of nature and festival life outside. Bring mats, pillows and blankets for comfort. Unsuitable for those with seizures, pacemakers or who are pregnant. Full details of contraindications on my website.
	2026-07-22	12:30	14:00	Artist Brunch hosted by Creative Network	https://purchase.vfringe.co.uk/EventAvailability?EventId=64801		Workshop	true	false	Join us for an informal, social event with free pastries to meet fellow performers and creatives. Meet new people and discover more about development and support opportunities for artists in the region. Hosted by IW Creative Network, who support artists from across the Isle of Wight with networking, funding, training and development opportunities. Artist Breakfast events are open to creatives, artists and students of any discipline, whether or not you're performing at Ventnor Fringe. Meet at the Thirsty Shed Coffee shop at Ingrams Yard.
The Workshop Tent	2026-07-22	13:00	14:00	Botanical Monotype Printmaking Workshop	https://purchase.vfringe.co.uk/EventAvailability?EventId=63001		Workshop	true	false	Come and create playful, experimental prints using fresh plant matter while learning about the monoprinting process. To make a monoprint, ink is applied to a plate with a brayer or a brush to create a layer of color. This inked surface can then be altered, added to, or masked with objects or stencils before being sent through the printing press. The result is a unique, freeform print that can be layered upon again and again! This workshop is for any experience level and ability—ages 12 and up.
Ventnor Exchange Arena	2026-07-22	13:00	14:00	Norvil & Josephine: Rabbits Out of the Hat	https://purchase.vfringe.co.uk/EventAvailability?EventId=37201		Performing Arts	true	false	After their 5-star studded season at Edinburgh Fringe, vaudevillian duo Norvil & Josephine present a magical extravaganza for all ages! Together they are a magician with a secret and an assistant with a mission in this whimsical comedy musical magic show, the likes of which the world has never seen. It's 1905 and life will never be the same again. It's time for the magician to chase new dreams while the assistant calls the shots. Expect breathtaking magic, sensational circus and showstopper songs as these Magic Circle magicians share a spectacularly silly and spellbinding story about being yourself no matter what. It's a heartwarming story within a whacky feel-good show. RABBITS OUT OF THE HAT appeals to both adult and family audiences in equal measure. The show has appeared in 85 theatre performances around the UK including 4 sold out seasons at The Well Walk Theatre in Hampstead and a run at The Pleasance King Dome at Edinburgh Festival Fringe.
The Fringe Village Box Office	2026-07-22	13:00	14:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
Ventnor Exchange	2026-07-22	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Bosco Theatre	2026-07-22	14:30	15:30	It Just So Happened - an alternative history show	https://purchase.vfringe.co.uk/EventAvailability?EventId=38801		Spoken Word, Walks & Talks	true	false	Award-winning stand-up comedian Richard Pulsford hosts this show for history fans. Three guest comedians / history buffs perform short stand-up sets based ‘on this day’ in history before exploring some possible alternative histories of Ventnor people and events. Recorded for the It Just So Happened history podcast. Previous guests have included Arthur Smith, Iszi Lawrence, Simon Munnery and Alasdair Beckett-King. ‘A fascinating and funny history podcast’ (Edinburgh Reviews, Edinburgh Fringe) ‘A quirky history podcast with a friendly splash of humour’ (The Reviews Hub, Brighton Fringe)
Ingrams Yard	2026-07-22	15:00	16:00	A Haunted House	https://purchase.vfringe.co.uk/EventAvailability?EventId=50801		Comedy & Cabaret	true	false	Mime, clown and slapstick performer David Hoskin ('Phenomenal' ***** BroadwayWorld.com) presents A Haunted House; on a tour of a spooky old mansion, silly vignettes and strange time loops reveal murder, memory loss, and dancing zombies. It’s like spending the night with the League of Gentlemen and Jacques Tati in a Hammer horror film. In a dark, dark house on a dark, dark street, a house of horrors wakes from sleep... dare you enter? Mumbai Fringe '26 - Best International Comedy Show. ★★★★½ – EVERYTHING I LOVE about Fringe – Fringesider ★★★★ – Masterclass in physical theatre – BroadwayBaby
The Garage	2026-07-22	15:00	15:30	RONNIE FONTAINE: CLOSE-UP AND CRIMINAL	https://purchase.vfringe.co.uk/EventAvailability?EventId=59201		Comedy & Cabaret	true	false	Close- Up and Criminal plunges you into the East End underworld of the 1980s. Ronnie “Flash” Fontaine, a former London gangster, unleashes thrilling tales of bank heists, armed robbery, failed jobs, and narrow escapes. A master hustler, he used his magic to con, smuggle, steal, and slip away from danger. Close-up magic performed inches from your eyes blurs the line between myth and reality. Edge-of-your-seat storytelling, jaw-dropping tricks, and dangerous charm make this intimate experience utterly unpredictable - pure dynamite. One performer. Ten at a table. Thirty unforgettable minutes.
The Fringe Village Box Office	2026-07-22	15:00	16:00	SILENT DISCO STRUT: A Wild Moving Disco Adventure Through Ventnor	https://purchase.vfringe.co.uk/EventAvailability?EventId=58201		Spoken Word, Walks & Talks	true	false	Silent Disco Strut. Wild, ridiculous and fun. A flamboyant, entertaining moving silent disco adventure through the fringe and Ventnor. It’s open to everyone! It’s open air and hysterical! Grab your headphones and hit the streets for a joy-fuelled, interactive silent disco like no other. Strut, dance and sing your way through Ventnor in a gloriously ridiculous roaming party led by a flamboyant host. Expect spontaneous dance-offs, shameless singalongs and plenty of playful mischief as you let go, unleash your inner child and become part of the spectacle."
The Workshop Tent	2026-07-22	15:00	16:30	Tetrapak Intaglio Printmaking workshop	https://purchase.vfringe.co.uk/EventAvailability?EventId=62001		Workshop	true	false	Come and join us for a special creative printmaking workshop led by Czech artist Petra Janouskova ART NOMAD on Tuesday 21st - Friday 24th, from 3 PM - 4:30PM. This workshop is for any experience level and ability—ages 12 and up. We will create a line-based design that will be transferred onto a Tetra Pak (a recycled milk or juice carton). The design will then be printed onto mixed-media paper using a printing press. This class will cover the full process of printmaking, from initial design through a finished print. Participants are encouraged to bring their own inspiration or choose from a variety of photographs provided by the class director.
